"productId","gender","category","type","baseColor","productName","price","size","userId","image"
"2040","Men","Topwear","Tshirts","White","ADIDAS Mens Fire White Polo T-shirt","10","L","340","http://assets.myntassets.com/v1/images/style/properties/6e2f96d8c460a9c1434e610f7cb6db85_images.jpg"
"2047","Men","Topwear","Tshirts","Navy Blue","ADIDAS Men's Navy Blue T-shirt","273","L","89","http://assets.myntassets.com/v1/images/style/properties/c37cbdf8358102c49c0f5dbe1c0e1856_images.jpg"
"2049","Men","Topwear","Tshirts","White","ADIDAS Men's Slim Fit White T-shirt","42","XL","349","http://assets.myntassets.com/v1/images/style/properties/5b7333bbf40e95f4c57e24d65903288d_images.jpg"
"2078","Women","Topwear","Tshirts","Black","ADIDAS Women Fitted Black T-shirt","285","3XL","340","http://assets.myntassets.com/v1/images/style/properties/a929e1e10469c87a8336418c18e9bef8_images.jpg"
"2219","Men","Shoes","Casual Shoes","Black","ADIDAS Men's Black Shoe","28","5","223","http://assets.myntassets.com/v1/images/style/properties/11638bf2032ce289f91e53f6696594ed_images.jpg"
"2221","Unisex","Accessories","Backpacks","Blue","ADIDAS Classic Blue White Backpack","309","Unique","311","http://assets.myntassets.com/v1/images/style/properties/98bc1481404eefbc12b2cdd78b43fc9a_images.jpg"
"2226","Women","Bottomwear","Track Pants","Black","ADIDAS Women Black Tracksuit","314","2XL","497","http://assets.myntassets.com/v1/images/style/properties/e4f049a0633c869e79cfe6cecc634fc2_images.jpg"
"2243","Men","Topwear","Tshirts","White","ADIDAS Men Stripe Polo White Polo T-shirt","89","XS","165","http://assets.myntassets.com/v1/images/style/properties/e1bba450764df5aed92151be769e42d0_images.jpg"
"2244","Women","Topwear","Tshirts","Black","ADIDAS Women's Black T-shirt","28","S","294","http://assets.myntassets.com/v1/images/style/properties/683aba986f6883e3a5c64fb97c994342_images.jpg"
"2272","Men","Topwear","Tshirts","Blue","Nike Mens Blue Polo T-shirt","13","3XL","103","http://assets.myntassets.com/v1/images/style/properties/eaa9d93a50dc42462c0a04f1ee91e902_images.jpg"
"2275","Men","Topwear","Tshirts","White","Nike Mens Challenger Graphic White T-shirt","81","S","385","http://assets.myntassets.com/v1/images/style/properties/388fac9b69511adcaa473fa2d567389f_images.jpg"
"2286","Men","Topwear","Sweatshirts","Black","Nike Men Black Sweatshirt","90","S","440","http://assets.myntassets.com/v1/images/style/properties/b9c1dec897aef4542fe47e98c7c9bd1f_images.jpg"
"2288","Women","Topwear","Tshirts","Black","Nike Women Black T-shirt","19","L","370","http://assets.myntassets.com/v1/images/style/properties/135f9aa8141d682fc218393049c70324_images.jpg"
"2477","Men","Shoes","Sports Shoes","Blue","Nike Men's LunarFly Blue Shoe","315","7","461","http://assets.myntassets.com/v1/images/style/properties/2aaec62ff9756dab42e78315b35505e5_images.jpg"
"2483","Women","Topwear","Tops","Purple","Puma Women Spagetti Dahlia Purple Top","196","XS","303","http://assets.myntassets.com/v1/images/style/properties/eb099387229f2ddf82e14775e5a42e6f_images.jpg"
"2484","Women","Topwear","Tshirts","White","Puma Women Spagetti White Top","194","L","193","http://assets.myntassets.com/v1/images/style/properties/5391fab5f984b3d20923b4c52fdc56ec_images.jpg"
"2611","Women","Shoes","Heels","Gold","Carlton London Women Stylish Gold Flats","19","10","391","http://assets.myntassets.com/v1/images/style/properties/aa9703a664cfc1493cc14a0eab2af64b_images.jpg"
"2616","Women","Shoes","Flats","Gold","Carlton London Women Gold Wedge Sandal","87","8","64","http://assets.myntassets.com/v1/images/style/properties/9dc47ec74ce6e5a62d67cbcdbd89898d_images.jpg"
"2618","Women","Shoes","Flats","Silver","Carlton London Women Silver Wedge Sandal","42","10","19","http://assets.myntassets.com/v1/images/style/properties/1133e704c0d02e19ac7b09685788aa40_images.jpg"
"2620","Men","Topwear","Tshirts","Blue","Nike Men's Colors Team India T-shirt","87","S","36","http://assets.myntassets.com/v1/images/style/properties/bb406db0fb2f98a1a49538fc1b14c444_images.jpg"
"2627","Women","Shoes","Flats","Silver","Carlton London Women Wedge Silver Sandal","94","4","248","http://assets.myntassets.com/v1/images/style/properties/a2a3d03e64b5041ab052d5a6b10d282a_images.jpg"
"2629","Women","Shoes","Flats","Black","Carlton London Women Four Strapped Black Sandal","98","9","433","http://assets.myntassets.com/v1/images/style/properties/3c1282e51eb6c43ff789db59376f9c02_images.jpg"
"2642","Men","Shoes","Formal Shoes","Black","Carlton London Men Semi Formal Black Shoe","155","7","437","http://assets.myntassets.com/v1/images/style/properties/e571426e3de987910f5bdd984338bd77_images.jpg"
"2645","Women","Accessories","Handbags","Pink","Murcia Women Big Canvas Tote Bag","244","Unique","480","http://assets.myntassets.com/v1/images/style/properties/0291b1572c759c53ee26582071787791_images.jpg"
"2817","Men","Shoes","Casual Shoes","Black","Lee Cooper Men's Casual Leather Black Shoe","22","4","265","http://assets.myntassets.com/v1/images/style/properties/3236b8ebf59620600dab8e1fbe8fd01f_images.jpg"
"2828","Men","Shoes","Casual Shoes","Blue","Lee Cooper Men's LC Casual Denim Blue Shoe","375","9","212","http://assets.myntassets.com/v1/images/style/properties/d8fbc6ec5c348077864f687febb98cca_images.jpg"
"2843","Men","Topwear","Tshirts","Pink","Mr.Men Men's Mr.Mischief Pink T-shirt","53","M","193","http://assets.myntassets.com/v1/images/style/properties/9972e0224ec65fe016e2703e8576475a_images.jpg"
"2844","Men","Topwear","Tshirts","Navy Blue","Mr.Men Men's Mr.Busy Navy T-shirt","58","2XL","233","http://assets.myntassets.com/v1/images/style/properties/1aa3626f05339e3d6cd1a91c895dedda_images.jpg"
"2872","Women","Shoes","Heels","Brown","Catwalk Women Leather Flats","86","8","98","http://assets.myntassets.com/v1/images/style/properties/4d90e05b9e99e203b3ce191439619bcb_images.jpg"
"2886","Women","Shoes","Flats","Brown","Catwalk Women Leather Brown Flats","40","9","338","http://assets.myntassets.com/v1/images/style/properties/94a9deea53125663d9bbe61cb38b84b4_images.jpg"
"2888","Women","Shoes","Heels","Brown","Catwalk Women Wedding Heeled Bronze Heels","88","4","255","http://assets.myntassets.com/v1/images/style/properties/099e8242ba7479b2eca56824293bbfb2_images.jpg"
"3132","Men","Topwear","Tshirts","Multi","DUSG Men's Tadoba Organic Cotton Cappuccino T-shirt","272","XS","423","http://assets.myntassets.com/v1/images/style/properties/4594ab966dd8dc10831e87837d18908c_images.jpg"
"3135","Women","Shoes","Heels","Gold","Catwalk Women Heeded Golden Strap Black Heels","269","4","12","http://assets.myntassets.com/v1/images/style/properties/33297561a7540d13c77164a3bbe276e4_images.jpg"
"3150","Men","Shoes","Sports Shoes","Black","Nike Men's Lunarswift Black Shoe","29","7","311","http://assets.myntassets.com/v1/images/style/properties/f23c4d59eb6ca3cd621c3db690e0c708_images.jpg"
"3159","Men","Shoes","Sports Shoes","White","Nike Men's Air Max Moto White Blue Shoe","40","9","417","http://assets.myntassets.com/v1/images/style/properties/538e095d6e2d1fe70731f5a14c154f2a_images.jpg"
"3161","Men","Shoes","Sports Shoes","White","Nike Men's Air Citius MSL White Grey Shoe","382","10","76","http://assets.myntassets.com/v1/images/style/properties/baffde85f36e72580d7246b0952ee688_images.jpg"
"3168","Men","Shoes","Sports Shoes","White","Nike Men's Incinerate MSL White Blue Shoe","100","8","140","http://assets.myntassets.com/v1/images/style/properties/4eff2353c62ec8b7bca9fbbaf5996bd2_images.jpg"
"3192","Men","Topwear","Tshirts","Black","Tantra Men's Prism Black T-shirt","71","3XL","451","http://assets.myntassets.com/v1/images/style/properties/395338ce9a4515b36e7b8c4a9c80546e_images.jpg"
"3300","Men","Shoes","Sports Shoes","Black","Asics Men's Gel Cushioning Black Yellow Shoe","39","10","428","http://assets.myntassets.com/v1/images/style/properties/c57b44b0582da012445b913bf8d80be4_images.jpg"
"3307","Men","Shoes","Sports Shoes","Black","Asics Men's Gel Phoenix 3 Black Silver Shoe","139","9","67","http://assets.myntassets.com/v1/images/style/properties/998c282acd503d2c7185647017adbfc9_images.jpg"
"3338","Men","Topwear","Tshirts","White","ADIDAS Men's Mumbai Indians White Polo T-shirt","347","L","163","http://assets.myntassets.com/v1/images/style/properties/f159107f47f06fbd04b2dcd4e6dfa4fb_images.jpg"
"3353","Men","Topwear","Tshirts","Blue","Myntra Men's I am a nice guy Navy Blue T-shirt","82","XL","63","http://assets.myntassets.com/v1/images/style/properties/15fcfc98e24bdb3e239d94bae48bfe72_images.jpg"
"3354","Men","Topwear","Tshirts","White","Myntra Men's I Give 100 Percent Work White T-shirt","96","M","279","http://assets.myntassets.com/v1/images/style/properties/d55de4814c818878d0584e90470d14d6_images.jpg"
"3362","Men","Topwear","Tshirts","Black","Myntra Men's Creative designs Black T-shirt","31","2XL","110","http://assets.myntassets.com/v1/images/style/properties/942600076a8ee0acef2e6ac94bafbc17_images.jpg"
"3365","Men","Topwear","Tshirts","Black","Myntra Men's Brain Black T-shirt","82","XS","446","http://assets.myntassets.com/v1/images/style/properties/477a546e340e50d1c7d4fb252a146692_images.jpg"
"3391","Women","Accessories","Handbags","White","Murcia Women White With Stitch Bag","23","Unique","178","http://assets.myntassets.com/v1/images/style/properties/61d4d060e05c3e4ff1771c5e724d6c16_images.jpg"
"3396","Women","Accessories","Handbags","Blue","Murcia Women Turquoise Blue Handbag","24","Unique","90","http://assets.myntassets.com/v1/images/style/properties/f71789410ce672f1c9c1be939ecd9f7e_images.jpg"
"3398","Women","Accessories","Handbags","Black","Murcia Women Black Handbag","168","Unique","293","http://assets.myntassets.com/v1/images/style/properties/4bbe64181a603cefff41da1aac00b64b_images.jpg"
"3502","Women","Topwear","Tshirts","Black","ADIDAS Women's Black T-shirt","317","M","302","http://assets.myntassets.com/v1/images/style/properties/bc3ca4fc5e033feb792aef87100f1a6d_images.jpg"
"3505","Women","Shoes","Casual Shoes","White","ADIDAS Women Adi Light White Fresh Shoe","349","6","409","http://assets.myntassets.com/v1/images/style/properties/d0746f8615346b3fda0b4e178eee0f71_images.jpg"
"3533","Men","Topwear","Tshirts","Navy Blue","Myntra Men's If You Don't Like Navy Blue T-shirt","44","M","354","http://assets.myntassets.com/v1/images/style/properties/c6a6fbe4d75e40529b7be5427d095142_images.jpg"
"3534","Women","Topwear","Tshirts","Black","Myntra Women's I Want You Black T-shirt","50","XL","410","http://assets.myntassets.com/v1/images/style/properties/2a09216723dc52a345f4b19213147e0d_images.jpg"
"3551","Men","Shoes","Casual Shoes","Brown","Skechers Men's Charcoal Lifestyle Shoe","162","8","109","http://assets.myntassets.com/v1/images/style/properties/cbfbb7dc1aee995012f8bc9cda960063_images.jpg"
"3556","Men","Shoes","Casual Shoes","Brown","Skechers Men Dark Brown Lifestyle Shoe","306","5","210","http://assets.myntassets.com/v1/images/style/properties/2053807e903d6257ecb31457c0187737_images.jpg"
"3701","Women","Topwear","Tshirts","Black","Tantra Women Flower Heart Black Long T-shirt","38","L","344","http://assets.myntassets.com/v1/images/style/properties/906c588711dcf840a61168758f463664_images.jpg"
"3706","Men","Topwear","Tshirts","Grey","Classic Polo Men's Grey Red & Brown Stripe T-shirt","94","XL","320","http://assets.myntassets.com/v1/images/style/properties/4ef2abf41a4d35aec21fa772bb74adf5_images.jpg"
"3708","Men","Topwear","Tshirts","Navy Blue","Classic Polo Men's Navy Grey Stripe T-shirt","231","2XL","153","http://assets.myntassets.com/v1/images/style/properties/24336bcdabc9461c17c55ea8e093b87b_images.jpg"
"3730","Men","Topwear","Tshirts","Yellow","CSK Mens Fangear Yellow Jersey","29","M","457","http://assets.myntassets.com/v1/images/style/properties/3d5795ec77c53b0030af8f5caed06a51_images.jpg"
"3737","Unisex","Accessories","Caps","Purple","Lotto Unisex Kochi Tuskers Sovenior Purple Orange Cap","45","Unique","107","http://assets.myntassets.com/v1/images/style/properties/00449355735d40bcbf670cd948d80e09_images.jpg"
"3739","Men","Accessories","Caps","Blue","ADIDAS Men Delhi Daredevil Blue Cap","62","Unique","150","http://assets.myntassets.com/v1/images/style/properties/0c4bbbabc7387cf6190f60f42d28782c_images.jpg"
"3763","Men","Topwear","Tshirts","Grey","Status Quo Men's London Icon Grey T-shirt","235","L","268","http://assets.myntassets.com/v1/images/style/properties/389a9352e335fb32fe33c220b75a9757_images.jpg"
"3764","Men","Topwear","Tshirts","Navy Blue","Status Quo Men's London Icon Navy T-shirt","22","XS","423","http://assets.myntassets.com/v1/images/style/properties/0f41729119b9f621e7d6fbd39fe7ed7e_images.jpg"
"3790","Men","Shoes","Casual Shoes","Black","Converse Men's AS Canvas HI Black Shoe","113","8","204","http://assets.myntassets.com/v1/images/style/properties/2cbba1cd60b44011accb7c099a859ec4_images.jpg"
"3797","Men","Shoes","Casual Shoes","Black","Converse Men Black & Red Shoes","360","5","70","http://assets.myntassets.com/v1/image/style/properties/3797/Converse-Men-Black--Red-Shoes_1_fe02c8391327729cd4b739c4bc555a7a.jpg"
"3909","Women","Bottomwear","Capris","Red","Urban Yoga Women Yoga Red Capri","162","3XL","107","http://assets.myntassets.com/v1/images/style/properties/83ed388c312bd473733dbbd90c478418_images.jpg"
"3936","Women","Topwear","Tshirts","Black","Jealous 21 Women's Black Miss T-shirt","24","3XL","238","http://assets.myntassets.com/v1/images/style/properties/48c7baa27e9e3766ed2e3f5327377c5b_images.jpg"
"3953","Women","Topwear","Tshirts","Red","Jealous 21 Women's Red Peace T-shirt","18","3XL","391","http://assets.myntassets.com/v1/images/style/properties/812fff8546b72c2f4bea1cf9a0ac0f13_images.jpg"
"3954","Women","Topwear","Tshirts","Pink","Jealous 21 Women's Pink T-shirt","77","3XL","115","http://assets.myntassets.com/v1/images/style/properties/b56e261f9206aa95e42c43f4e62d0e5a_images.jpg"
"3962","Women","Topwear","Tops","Black","Jealous 21 Women Black Shimmery Falling Neck Top","287","S","335","http://assets.myntassets.com/v1/images/style/properties/ca1b177ef6a5b4c782933f43485d65fd_images.jpg"
"3965","Women","Topwear","Tops","White","Jealous 21 Women White Sleeveless Top","78","3XL","202","http://assets.myntassets.com/v1/images/style/properties/a953166dfe7afbf8aafd557a1136dc46_images.jpg"
"3991","Men","Topwear","Tshirts","White","Mr.Men Men's Wave Rider White T-shirt","80","M","202","http://assets.myntassets.com/v1/images/style/properties/b102d8273537781b5cc6b28a929c501c_images.jpg"
"3996","Men","Shoes","Flip Flops","Black","Spalding Men Black Flip Flops","306","8","104","http://assets.myntassets.com/v1/images/style/properties/e14ffb8ceff3534250d7ae11401dfe81_images.jpg"
"3998","Men","Shoes","Flip Flops","Black","Spalding Men's Black and White Graphic Flip Flop","71","7","303","http://assets.myntassets.com/v1/images/style/properties/91352b9549b9c0d570180dd1be12738d_images.jpg"
"4122","Unisex","Shoes","Casual Shoes","Black","Puma Unisex Lo Punk Black Yellow Shoe","220","7","261","http://assets.myntassets.com/v1/images/style/properties/6dd49be8355f62b5a68e8ad21baff13a_images.jpg"
"4125","Men","Topwear","Tshirts","Orange","Lotto Men Kochi Tuskers Authentic Orange Jersey","149","M","220","http://assets.myntassets.com/v1/image/style/properties/4125/Lotto-Men-Kochi-Tuskers-Authentic-Orange-Jersey_1_0665bf7bd258328bb21ba0e3051f7ea0.jpg"
"4140","Women","Shoes","Casual Shoes","Green","Skechers Women Green Shoe","84","4","481","http://assets.myntassets.com/v1/images/style/properties/7de650b81e8fd8be54794b6f466f3b8e_images.jpg"
"4147","Women","Shoes","Sports Shoes","White","Nike Women Glide White Grey Shoe","26","10","415","http://assets.myntassets.com/v1/images/style/properties/bcb241296d93b8198038571a64f99b97_images.jpg"
"4149","Women","Shoes","Sports Shoes","White","Nike Women Free White Pink Shoe","173","4","446","http://assets.myntassets.com/v1/images/style/properties/9eb4ad2705fa944b8ffcbee87922bafe_images.jpg"
"4171","Men","Shoes","Sports Shoes","White","Reebok Men's Easytone Inspire White Shoe","28","5","95","http://assets.myntassets.com/v1/images/style/properties/461d2320504d9d9f1cbe2ebfd6ac7aae_images.jpg"
"4310","Unisex","Topwear","Tshirts","Green","Tantra Kid's Unisex Papa's Joy Green Kidswear","33","M","394","http://assets.myntassets.com/v1/images/style/properties/08943542fc92fa3df30077ced7837841_images.jpg"
"4317","Unisex","Topwear","Tshirts","Red","Tantra Kid's Unisex Kya Boss Red Kidswear","230","XS","267","http://assets.myntassets.com/v1/images/style/properties/d3095dccf14a78442468e785f489b79a_images.jpg"
"4343","Men","Shoes","Casual Shoes","Red","Fila Men Leonard Red Shoes","88","7","441","http://assets.myntassets.com/v1/images/style/properties/6c47906c4ede8ac1c9142bdba8e6fd63_images.jpg"
"4344","Men","Shoes","Sports Shoes","White","Fila Men's Abascuss White Blue Shoe","314","5","302","http://assets.myntassets.com/v1/images/style/properties/05258b3aab19101a69bf27340d1f6aa1_images.jpg"
"4375","Men","Topwear","Tshirts","Navy Blue","Marvel Comics Men's Comic Poses Navy T-shirt","41","3XL","27","http://assets.myntassets.com/v1/images/style/properties/2168c1954a31148429a42e0b4713da75_images.jpg"
"4381","Men","Topwear","Tshirts","Blue","Superman Men's Silhouette Light Blue T-shirt","63","L","478","http://assets.myntassets.com/v1/images/style/properties/9af8eb6d150cbf09178137613fb1e594_images.jpg"
"4386","Men","Topwear","Tshirts","Grey","Wrangler Cowboy Photo T-shirt","97","XL","235","http://assets.myntassets.com/v1/images/style/properties/dc7e36dcafbb8aeb71dc2ebbd4427ca7_images.jpg"
"4388","Men","Topwear","Tshirts","Green","DC Comics Lantern Arrow All Over Green T-shirt","97","2XL","331","http://assets.myntassets.com/v1/images/style/properties/8fb251ea403fab32952058a73088aeb2_images.jpg"
"4512","Women","Shoes","Sports Shoes","Grey","Lotto Women Osaka Grey Violet Shoe","328","10","54","http://assets.myntassets.com/v1/images/style/properties/ca70f3039d167c2b161e684a4ceb0b96_images.jpg"
"4515","Men","Shoes","Sports Shoes","White","Puma Men's Tarun White Silver Red Shoe","86","9","119","http://assets.myntassets.com/v1/images/style/properties/25cffc1cddbfbc2ae8c8a98ee2431665_images.jpg"
"4523","Men","Shoes","Sports Shoes","Blue","Puma Men's Faas Blue White Silver Red Shoe","21","5","204","http://assets.myntassets.com/v1/images/style/properties/0411da3a022ade1d11dfb7affdc6f536_images.jpg"
"4524","Men","Shoes","Sports Shoes","Black","Puma Men's YugoRun Black White Shoe","56","8","68","http://assets.myntassets.com/v1/images/style/properties/fae0ae76d008674551fbdbb64988ea51_images.jpg"
"4541","Men","Topwear","Tshirts","White","Classic Polo Men's White T-shirt with Navy Stripes","202","XS","62","http://assets.myntassets.com/v1/images/style/properties/cc3ba335625d86f8eda9329472af501b_images.jpg"
"4546","Men","Shoes","Sports Shoes","Black","Nike Men's Air Max Black Shoe","362","5","295","http://assets.myntassets.com/v1/images/style/properties/6d489d04b2840d450005883d5605c311_images.jpg"
"4579","Women","Shoes","Sports Shoes","Blue","Nike Women Zoo Blue Shoe","170","4","291","http://assets.myntassets.com/v1/images/style/properties/032b2806e0ea06a222d748df28f59c0b_images.jpg"
"4718","Girls","Topwear","Tshirts","Yellow","Disney Kids Girl's Summer Fun Fair Yellow Teen Kidswear","96","M","480","http://assets.myntassets.com/v1/images/style/properties/1109685531795f17aca2acaba2ab39ad_images.jpg"
"4720","Girls","Topwear","Tshirts","Yellow","Disney Kids Girl's Fun In The Fair Yellow Teen Kidswear","199","M","362","http://assets.myntassets.com/v1/images/style/properties/4c35804275294e78210e4dcf86686652_images.jpg"
"4727","Boys","Topwear","Tshirts","Blue","Disney Kids Boy's Regatta Annual Blue Teen Kidswear","139","S","82","http://assets.myntassets.com/v1/images/style/properties/0e06cb945b450950e57486e8aba7983e_images.jpg"
"4729","Boys","Topwear","Tshirts","Green","Disney Kids Boy's Crew Sea Life Sialing Green Teen Kidswear","65","3XL","272","http://assets.myntassets.com/v1/images/style/properties/0108969213975af06095ff84a0ec0c72_images.jpg"
"4773","Women","Bottomwear","Capris","Blue","ADIDAS Women 3S Blue Capri","343","2XL","95","http://assets.myntassets.com/v1/images/style/properties/ae094e99b3c940e0192e78afcc3c7b4b_images.jpg"
"4774","Women","Bottomwear","Track Pants","Pink","ADIDAS Women 3S Pink Track Pants","324","XS","229","http://assets.myntassets.com/v1/images/style/properties/603270a4ee6b0e6e03e7195dba64bc44_images.jpg"
"4780","Women","Topwear","Tshirts","Pink","ADIDAS Women's Balance Pink T-shirt","191","2XL","21","http://assets.myntassets.com/v1/images/style/properties/2364994f2ec08d2f23b3f9bcc455a798_images.jpg"
"4787","Men","Bottomwear","Shorts","Black","ADIDAS Men's Bas Esx Black Short","153","S","451","http://assets.myntassets.com/v1/images/style/properties/145dcad3efcae0173e87fb381fc4f8f0_images.jpg"
"4919","Women","Topwear","Tops","Pink","Gini and Jony Girl's Veeya Pink Kidswear","242","S","320","http://assets.myntassets.com/v1/images/style/properties/02d998a5e24bbc99dda9a40f4941c58d_images.jpg"
"4921","Women","Topwear","Tshirts","White","Gini and Jony Girl's Viona Pack of 3 Tee Kidswear","307","XS","339","http://assets.myntassets.com/v1/images/style/properties/a8bf405400eec5130c056452d20ba104_images.jpg"
"4943","Men","Topwear","Shirts","White","Gini and Jony Boy's Kaleb White Brown Kidswear","24","S","96","http://assets.myntassets.com/v1/images/style/properties/1aae016d0abb224cfc18e6bd9bb01ad1_images.jpg"
"4944","Men","Topwear","Shirts","White","Gini and Jony Boy's Kaleb White Brown Infant Kidswear","79","L","286","http://assets.myntassets.com/v1/images/style/properties/a8b30e5a5ba28fc928c0b64cda5811e4_images.jpg"
"4972","Men","Topwear","Shirts","Green","Gini and Jony Boy's Kangaroo Green White Kidswear","44","M","303","http://assets.myntassets.com/v1/images/style/properties/1444d5d46afd24d8b02cfa41cc402b50_images.jpg"
"4975","Men","Topwear","Tshirts","Red","Gini and Jony Boy's Kent Pack of 3 Tee Kidswear","39","S","248","http://assets.myntassets.com/v1/images/style/properties/b0c2d4a01bdbe1f2aa39cc83542cd60c_images.jpg"
"4986","Men","Topwear","Tshirts","Red","ADIDAS Men Bayern Munchen Red Jersey","52","2XL","223","http://assets.myntassets.com/v1/images/style/properties/8580e2e688a9ccf9b2bb20e3a89c69cc_images.jpg"
"4988","Women","Topwear","Dresses","White","Gini and Jony Girl's Vanya White Polka Dot Kidswear","62","2XL","135","http://assets.myntassets.com/v1/images/style/properties/e7559ae62df37abf5338b7992aa8c628_images.jpg"
"5003","Women","Bottomwear","Shorts","Blue","Gini and Jony Girl's Arella Blue Kidswear","280","S","243","http://assets.myntassets.com/v1/images/style/properties/4f0851704c708d135d68467d456bff2e_images.jpg"
"5004","Women","Bottomwear","Skirts","Blue","Gini and Jony Girl's Delma Blue Kidswear","149","XL","327","http://assets.myntassets.com/v1/images/style/properties/8b783d6b8d10aa61690f082ba3db9eda_images.jpg"
"5050","Men","Shoes","Casual Shoes","Black","Fila Men's Passion Black red Canvas Shoe","224","6","20","http://assets.myntassets.com/v1/images/style/properties/2f4267ce2de8d98c8ecbd46ca5d75f4a_images.jpg"
"5092","Men","Topwear","Tshirts","Purple","Wrangler Men's Minstrel Shoulder Loop Purple T-shirt","92","3XL","344","http://assets.myntassets.com/v1/images/style/properties/f9622342fedb746c6515647f128b94a6_images.jpg"
"5095","Men","Topwear","Tshirts","Blue","Wrangler Men's Greensboro Raw Edge Blue T-shirt","10","XS","5","http://assets.myntassets.com/v1/images/style/properties/105c607753deea7b4ae6bc41d51661ee_images.jpg"
"5209","Men","Topwear","Tshirts","White","Superman Men's Job Round Neck White T-shirt","393","3XL","145","http://assets.myntassets.com/v1/images/style/properties/009125db49cad720be56f239e4856d76_images.jpg"
"5231","Men","Topwear","Tshirts","Navy Blue","Classic Polo Men's Cari Navy Polo T-shirt","268","L","445","http://assets.myntassets.com/v1/images/style/properties/05f1400b589affd98c504f50c5ec5fb2_images.jpg"
"5253","Unisex","Accessories","Duffel Bag","Grey","Wildcraft Unisex Black & Grey Duffel Bag","93","Unique","238","http://assets.myntassets.com/v1/images/style/properties/Wildcraft-Unisex-Black---Grey-Printed-Duffle-Bag-Cum-Backpack_690474057244f1cc1f6c1f546fe244e9_images.jpg"
"5254","Unisex","Accessories","Duffel Bag","Red","Wildcraft Unisex Red Duffle Bag","26","Unique","131","http://assets.myntassets.com/v1/images/style/properties/8ee197c54df34d4e59d56d847139fe49_images.jpg"
"5262","Unisex","Accessories","Backpacks","Blue","Wildcraft Unisex Blue & Grey Printed Backpack","328","Unique","301","http://assets.myntassets.com/v1/images/style/properties/Wildcraft-Unisex-Campus-Blue-Backpack_d093a7e53475d0398a7fde5c5e1b8b36_images.jpg"
"5265","Unisex","Accessories","Messenger Bag","Black","Wildcraft Unisex Black & Red Messenger Bag","70","Unique","484","http://assets.myntassets.com/v1/images/style/properties/7469a0472f0e65203b2592bf320f6ca8_images.jpg"
"5291","Men","Shoes","Formal Shoes","Black","Lee Cooper Men Black Semi Formal Shoe","64","9","207","http://assets.myntassets.com/v1/images/style/properties/f9e6c0170eadb83b2f0c082b457548a2_images.jpg"
"5296","Men","Shoes","Sandals","Black","Puma Men Black Floater","172","10","469","http://assets.myntassets.com/v1/images/style/properties/f5591109328d6f69462df128965a8258_images.jpg"
"5402","Women","Shoes","Sports Shoes","Purple","Kalenji Ekiden 200 Wn Purple 2011","11","9","406","http://assets.myntassets.com/v1/images/style/properties/5dfa5ed32e290bbaeedd937ecdaa9a8b_images.jpg"
"5405","Men","Shoes","Sports Shoes","White","Kalenji Ekiden Comfort Prime 2011","31","7","172","http://assets.myntassets.com/v1/images/style/properties/07932c2277eda49d29639f0fe3c4e4c6_images.jpg"
"5433","Men","Topwear","Tshirts","Red","Nike Men's Speed Fury Red T-shirt","72","XS","334","http://assets.myntassets.com/v1/images/style/properties/d239ef6926e4717a238faba074bb369a_images.jpg"
